#{"t_start": 1764859560.172032, "env_id": "None"}
r,l,t
-9.052804,105,4.775107
1.602424,205,8.314193
-2.703639,160,11.326004
4.533754,196,15.117
-3.71065,136,17.839342
-12.026406,124,20.283129
-2.714463,188,24.319098
1.918417,164,27.740705
8.828031,161,31.16333
-1.293191,136,34.041907
-3.705068,156,37.403767
4.778826,180,41.318942
-4.272104,168,45.298246
-9.667029,96,47.388513
-6.921746,160,50.836312
-5.622652,137,54.06483
-14.549995,117,56.704114
3.783842,131,58.988334
6.587453,184,62.159339
0.350687,160,65.264411
-5.485442,172,68.38643
-2.286746,140,70.91711
1.139683,148,73.43387
-3.061364,173,76.546472
-4.259955,136,78.869683
-5.618323,132,81.06955
-12.691069,103,83.042408
-1.626959,189,86.294029
-3.757862,157,88.986739
-3.588191,155,91.666443
-5.370356,135,93.970677
-4.033289,154,96.64598
-2.493707,139,99.024282
5.993391,157,101.620572
-1.365061,145,104.077553
-10.257907,88,105.584088
-3.028654,141,108.048005
-10.043069,101,109.775668
-9.40658,138,112.230906
-5.674136,141,114.75948
-2.8746,136,117.16195
-9.991548,135,119.493134
-15.049431,81,120.848582
-2.924969,165,123.591944
-9.024717,116,125.557825
-3.889631,166,128.536899
-2.778459,155,131.10221
-8.684237,85,132.566285
-5.704921,145,135.174497
-4.577989,131,137.36441
-4.69586,165,140.244778
-10.997796,123,143.165343
-5.440302,162,146.127419
-4.818145,145,148.862346
-2.977577,174,151.988292
1.810312,128,154.369139
-4.724702,124,156.557909
-1.8038,176,159.854405
-2.944064,144,162.444468
-5.39667,163,165.411949
-10.392029,161,168.415822
-2.677072,146,171.122735
-8.114128,206,175.007012
-6.53196,167,178.01768
25.872066,122,180.331587
-7.621917,122,182.626063
3.207198,135,185.038423
0.618661,155,187.82085
-5.812499,126,190.265395
-0.070942,181,193.531762
6.931733,149,196.246624
7.452151,138,198.735659
-4.403386,188,202.264409
-3.480715,173,205.413189
-5.523926,202,209.084618
-13.076522,124,211.423067
-6.558819,135,213.823906
14.552021,211,217.629628
-4.817317,147,220.343629
-4.141579,131,222.744986
1.081163,157,225.611099
5.157034,215,229.501409
-2.565306,210,233.556979
-4.672831,130,235.919307
-0.171882,199,239.514133
-13.82644,102,241.548582
-4.375502,149,244.253006
9.454629,482,253.181082
16.5187,500,262.306371
-0.803823,221,266.373146
-4.297127,197,269.989354
-1.066774,179,273.300536
-6.85184,221,277.276902
-0.710948,339,283.494786
16.919711,195,286.980471
3.208652,500,296.188493
1.352409,405,304.379511
-5.86943,97,306.271025
-4.855311,147,309.007348
-10.882405,168,312.024695
-7.985045,54,313.017567
4.378851,423,320.88718
-1.85822,205,329.86986
0.298753,257,336.712384
1.345974,184,340.908363
-12.977754,142,343.973501
22.5335,500,354.554061
-5.608004,175,357.924241
-10.161017,96,359.755028
5.215657,180,363.027162
-9.838297,127,365.333262
3.21612,81,366.957155
-4.577045,230,371.184461
15.498566,500,380.621242
-6.377525,208,387.913159
-2.453606,206,395.573318
9.312189,340,410.237772
1.908214,121,414.234742
-9.779834,143,419.034794
-6.573375,188,425.088281
-3.859602,185,431.819029
15.788606,365,444.824226
-4.921777,96,447.86274
-9.246342,105,451.453044
-8.122162,45,452.865653
-1.963692,201,459.901526
6.342648,159,465.450786
19.948886,500,487.039761
-3.607041,186,494.167877
0.723033,126,498.288566
15.377663,500,514.648381
-3.044018,189,521.075054
-0.706386,206,529.469714
2.690424,354,541.573725
18.936953,500,558.085428
-9.04151,196,564.370944
-11.246027,248,572.484598
8.867598,211,579.73861
20.527927,182,585.568735
18.96688,500,607.562425
12.903474,500,624.683995
-0.895891,69,626.905017
-6.862028,231,634.664393
-0.902044,262,643.125113
-7.898491,146,647.751642
-3.94633,239,655.447618
-3.201591,226,663.036953
23.585303,500,679.10564
-6.780886,213,685.96592
1.210108,204,692.450699
17.217845,500,708.685374
24.023544,103,712.86277
-3.528197,210,720.545502
-0.509506,173,726.252964
-3.87049,188,732.270951
22.232157,500,748.728074
-9.934311,120,752.601501
-4.394452,97,755.668396
-6.595185,179,761.588003
-1.670363,255,769.800379
0.790488,95,772.828682
4.299123,153,777.923365
-1.869746,155,783.142145
-8.94536,320,793.705883
7.541078,189,799.865422
-3.509068,289,809.17821
25.468454,122,813.040213
-8.553065,148,817.756297
-14.609199,138,822.287653
-5.799607,170,827.695952
18.064616,500,843.9444
-3.923224,203,850.405304
-3.875383,252,858.498558
-1.441686,194,864.943614
-4.453484,154,869.905802
23.120253,500,886.229358
-6.775824,34,887.29521
-7.615216,229,894.799692
-8.272223,30,895.760074
-10.046514,101,899.123703
2.910271,97,902.287717
-8.370853,181,908.071572
-0.625482,147,912.702543
13.391131,380,925.150575
36.620781,492,941.029712
-0.885622,156,946.08708
6.471353,210,952.718765
5.618432,147,957.527262
-2.867054,211,964.235126
-1.677933,224,971.502859
10.795088,182,977.440467
6.303165,311,987.663157
11.676036,371,999.600951
-1.847134,203,1006.012033
37.642161,482,1021.642506
5.21923,193,1027.786405
0.008382,158,1033.001838
-2.246439,217,1040.009762
-7.475478,75,1042.402086
-5.276646,187,1048.340594
1.104484,245,1056.224392
2.419442,284,1065.454899
1.91081,202,1071.981424
6.212114,155,1076.937366
24.089276,500,1093.020383
4.455588,144,1097.559019
35.694238,486,1113.245524
12.10512,160,1118.32206
7.832565,433,1132.273161
1.87452,156,1137.393902
2.625802,66,1139.508058
0.159375,306,1149.29438
31.178917,415,1162.537155
3.725452,303,1172.293528
0.047137,204,1178.935483
-3.326518,290,1188.305049
25.61523,500,1204.40034
-7.857912,223,1211.582018
17.146153,172,1217.213778
-9.276577,199,1223.479778
-5.645529,143,1228.149419
1.611552,60,1230.056926
-5.049688,170,1235.411115
-7.319961,181,1243.220784
2.313444,95,1249.264861
30.177934,500,1275.552573
-0.57411,217,1285.835001
6.19947,370,1298.059301
8.602153,368,1308.443253
6.62334,171,1311.376324
28.343349,500,1318.680408
18.464513,448,1325.598253
-7.858711,139,1327.944451
-8.886589,192,1331.398603
-11.545486,120,1333.666308
1.34156,275,1338.908449
0.677019,103,1340.713986
0.650543,105,1342.640449
0.78141,181,1346.124778
-9.450585,152,1349.201255
24.343738,105,1351.669221
6.345429,161,1354.758481
1.161972,57,1355.808815
-5.183503,189,1359.328096
1.705704,74,1360.739171
6.810043,118,1363.154208
2.69312,74,1364.577812
24.837585,500,1373.42975
26.941184,500,1382.561254
24.206715,101,1384.586076
-9.510178,222,1388.569151
-0.239228,269,1393.522466
3.124128,80,1395.021008
-1.13195,192,1398.87728
1.876888,202,1402.937193
7.819515,155,1407.74154
-6.54612,41,1408.692982
-2.460369,193,1412.532826
5.436003,90,1414.25229
-4.677975,174,1417.470612
0.127955,156,1420.225679
-0.378497,54,1421.194644
4.874123,87,1422.673647
23.964288,101,1424.435134
8.650687,90,1426.078444
-0.540217,132,1428.410401
2.82743,85,1429.921404
5.052681,114,1431.905417
3.384854,93,1433.477866
34.452144,393,1440.542108
-3.290578,181,1443.595434
7.611606,113,1445.479197
-7.958768,1,1445.495155
1.522144,214,1449.382431
1.981715,156,1452.25872
4.16217,88,1453.829853
-1.572375,107,1455.649063
1.042365,114,1457.620471
4.845589,394,1464.642774
8.57236,220,1468.835757
-0.162532,206,1472.583607
2.13348,199,1476.072549
-0.816712,233,1480.237411
13.633548,163,1483.121549
0.815224,223,1486.948734
-9.205551,127,1489.302556
29.46197,313,1494.792275
2.371382,210,1498.784626
-6.712505,67,1500.093663
24.055494,101,1501.926867
22.550768,500,1510.938401
3.929728,140,1513.378277
7.234686,360,1519.888441
24.074289,101,1521.701569
5.617046,344,1528.174044
10.644645,238,1532.692366
1.272962,58,1533.796114
4.64631,101,1535.578678
34.076033,402,1542.819626
-5.79057,44,1543.690544
-9.733632,132,1546.072006
6.454262,172,1549.298954
4.206907,93,1551.025232
2.530176,238,1555.789746
-7.417098,7,1555.922339
24.003936,101,1557.846259
0.755407,117,1559.853968
3.057588,66,1561.088543
3.77969,79,1562.580942
-1.171637,185,1565.957798
1.805838,60,1567.087882
0.392266,61,1568.277174
1.941109,203,1571.940666
1.419463,70,1573.304782
-6.037987,109,1575.352107
4.47623,132,1577.736995
-7.979997,1,1577.762484
5.068802,172,1580.898498
11.840859,221,1584.924365
4.279373,95,1586.761792
-3.639268,44,1587.572969
-6.605584,183,1590.771299
1.408605,144,1593.418432
0.886832,114,1595.34819
23.937976,101,1597.147147
2.710065,241,1601.509276
1.793965,224,1605.606719
2.155437,200,1609.823346
-0.766392,58,1610.876505
-8.80151,56,1611.833537
3.221888,225,1616.05529
-8.692293,161,1619.164096
0.743427,65,1620.359438
8.500766,152,1623.006107
-4.364897,194,1626.544749
6.753915,148,1629.132845
15.549773,500,1637.993915
-6.070979,66,1639.106431
4.285963,91,1640.690413
-8.708089,179,1643.792086
1.634883,192,1647.374536
-2.335879,173,1650.832552
-2.718438,158,1653.811821
10.276612,257,1658.507719
2.667188,83,1660.007782
-1.435365,360,1666.773899
10.915441,237,1671.436013
23.852585,101,1673.299394
4.037826,87,1674.970725
1.811653,189,1678.723082
3.897679,78,1680.15006
4.156451,72,1681.457162
-2.811456,247,1685.868425
10.339509,129,1688.282894
0.903564,64,1689.404027
4.430305,112,1691.388909
-7.519219,4,1691.453616
-8.453579,158,1694.441146
7.117448,277,1699.626691
-9.363149,163,1703.272291
23.566678,131,1706.380198
1.25427,209,1710.946638
2.001105,131,1713.589931
1.065443,257,1718.658732
-7.373023,17,1719.046228
10.871082,148,1722.970808
3.112032,300,1748.602068
29.592757,247,1761.527883
0.826167,189,1776.596209
3.820368,263,1787.229918
-3.135839,66,1789.838802
27.032512,141,1796.295073
1.203267,192,1803.008736
24.129461,101,1806.488267
0.918927,255,1815.543598
-1.190123,280,1832.077759
0.846214,57,1836.422358
24.284378,101,1840.875699
4.097204,97,1845.104333
4.666289,95,1849.789122
2.31621,70,1851.926269
5.298201,106,1858.855733
24.68583,115,1867.092295
-5.339936,188,1878.831101
23.885067,101,1886.431309
33.100427,414,1897.862888
3.812404,92,1910.744205
18.091875,431,1937.177807
6.121056,137,1945.125509
3.231713,218,1956.957912
-6.328283,176,1969.522016
27.603965,205,1982.771522
-7.520186,26,1984.414751
23.782638,101,1987.94821
14.40757,429,2008.596221
0.930266,70,2011.480723
5.086213,124,2015.878134
4.481524,270,2024.579597
4.788786,125,2028.754086
4.485664,262,2037.800551
3.498547,259,2046.956084
2.126677,270,2057.83611
25.049561,216,2065.514763
23.673786,101,2070.24589
-0.042281,234,2080.93014
1.086877,230,2093.268293
9.010684,255,2113.22172
-1.553131,181,2123.745525
8.689632,208,2135.579494
4.44176,262,2144.833911
1.898947,232,2166.121709
-7.735456,12,2167.065429
3.353004,144,2176.11435
31.278347,300,2199.317851
13.612112,371,2233.327989
-6.841833,28,2234.197147
-15.9702,109,2238.369739
23.977884,101,2242.965587
1.670057,223,2254.553431
1.019643,191,2263.018558
-0.110124,58,2265.025509
-7.27712,44,2266.7446
-6.118971,33,2268.127031
1.533613,281,2282.781041
2.119965,203,2290.127529
-9.799078,109,2294.126232
6.373193,146,2299.102341
9.921795,359,2312.352275
0.381141,85,2316.913445
-5.879681,55,2320.733274
0.894877,63,2324.370275
24.128449,101,2329.80132
4.721891,92,2333.08435
5.833874,141,2339.37593
4.237941,138,2346.181087
0.382778,53,2351.228813
28.326569,216,2357.054902
8.818219,177,2362.982947
25.962364,192,2369.890539
28.535724,204,2376.020456
7.143863,184,2381.176641
-6.775543,32,2382.022753
6.970743,176,2387.209539
-3.724686,43,2388.311752
24.839975,124,2391.698635
1.229821,209,2398.061376
2.119772,72,2400.613381
26.470123,230,2407.143896
0.223564,95,2409.818639
6.049937,161,2414.238745
21.019417,187,2419.677084
15.011502,176,2432.725144
24.294808,101,2438.696901
0.715726,217,2449.657506
-0.800835,232,2464.449239
0.475613,57,2467.77195
7.827288,218,2494.376606
4.423887,105,2498.004721
24.756631,113,2503.545284
11.191046,235,2514.134616
2.53353,65,2516.557403
-7.315894,7,2516.961475
25.413762,191,2526.613949
11.598092,174,2534.816494
5.10323,139,2542.911955
23.647435,101,2546.084394
5.687919,212,2551.954556
6.261817,157,2555.427669
6.465092,335,2567.227268
-4.953785,76,2570.635718
4.043264,149,2574.497057
3.340288,91,2576.44623
23.740516,101,2578.440495
5.282005,110,2580.971726
17.41329,159,2584.157503
11.199124,151,2587.318853
2.447353,213,2591.734333
-0.432959,290,2597.52306
28.120599,207,2601.427889
3.660635,216,2605.393665
-6.167592,53,2606.329225
26.72965,500,2615.756225
5.101182,110,2618.003123
2.781067,179,2621.524171
27.083391,215,2625.797009
24.061474,101,2628.069573
7.437179,164,2632.353101
11.399578,174,2637.517608
-5.946173,29,2638.352579
2.275915,69,2640.829131
27.092096,182,2648.496125
4.194341,92,2655.830253
23.47065,101,2659.183552
-8.000163,19,2659.752033
7.206144,311,2672.462017
3.639938,253,2681.207146
25.41834,154,2686.428465
2.992721,106,2689.923992
30.363438,237,2697.430664
-5.273515,20,2697.971063
2.685313,89,2700.39214
2.105077,62,2702.435915
3.659646,142,2706.126683
2.626432,66,2707.931596
4.045309,100,2710.423958
8.444586,145,2713.977031
-1.367448,188,2718.289693
0.166208,57,2719.604094
-0.104459,58,2720.880632
4.446985,115,2723.340309
27.239441,211,2727.960211
3.716898,194,2732.248116
-3.766888,92,2734.188223
2.081287,62,2735.392761
4.172818,151,2738.431949
3.853112,84,2740.161383
2.159598,63,2741.392564
-9.460805,29,2742.061527
17.48994,212,2746.317402
1.243548,281,2752.185942
10.249827,109,2754.506056
8.818223,185,2758.45562
5.169952,122,2761.261735
-9.808693,242,2767.47532
-8.5413,143,2771.762028
23.933087,101,2774.12062
1.867056,191,2778.565119
3.390585,89,2780.789014
24.285882,101,2783.122337
-6.780268,19,2783.55502
31.032367,310,2793.22914
3.387112,231,2799.964197
9.923357,135,2803.579331
-5.418687,54,2805.114304
4.237369,107,2808.131262
9.415437,122,2811.749264
3.383978,93,2814.231638
-9.711193,156,2818.583593
28.388451,201,2825.165011
4.98044,181,2830.774731
28.169545,208,2838.160346
5.626868,105,2841.818228
2.532043,77,2844.29959
1.454546,190,2849.548451
31.475881,337,2858.462836
24.116754,101,2861.343679
1.482426,224,2866.508986
3.30593,82,2868.403297
1.756945,214,2872.944266
3.117338,207,2877.264198
7.602743,144,2880.304676
4.358071,101,2882.552899
4.346124,91,2884.536643
25.718706,226,2889.204685
24.24377,107,2891.421402
3.423551,92,2893.312956
4.325322,96,2895.406917
-2.923779,188,2899.309868
23.814825,101,2901.495397
3.780241,93,2903.461137
5.801818,127,2906.301216
-2.872961,256,2912.152417
9.62572,99,2914.289303
-3.904474,50,2915.613243
26.072769,264,2921.685844
2.804111,77,2923.612572
3.091964,225,2929.079429
18.774818,188,2933.894151
