#{"t_start": 1764605362.0887277, "env_id": "None"}
r,l,t
-5.70098,148,5.483759
-7.875229,92,7.471317
-1.616836,148,10.840854
-0.874271,53,12.080581
-1.995615,142,15.587301
-4.803934,150,19.458671
-3.339281,184,24.506829
-4.573684,160,29.213362
-2.380949,170,34.064886
-4.915005,154,41.571436
-9.990171,73,44.541007
-0.678955,161,51.462155
-9.783487,75,54.178684
-4.767497,136,59.248942
-9.305872,109,62.905748
1.724667,143,69.654526
2.524367,141,73.165164
0.441983,157,77.029059
-4.441758,155,83.482951
-10.872842,130,87.276433
-1.393271,152,91.834239
-10.980853,107,94.720268
-3.647953,145,98.781102
-5.472451,133,102.226691
-9.637058,142,105.915111
-5.256555,130,109.317315
-14.497714,115,112.216764
-5.546988,138,116.13165
-9.96217,141,120.137004
-9.56928,125,123.162274
-3.701865,176,131.010339
-4.671203,123,137.496202
-10.048993,101,142.173384
3.440089,149,148.764214
-4.842383,139,155.004014
-15.717742,95,159.478883
-11.376003,90,163.459347
-2.5563,182,171.671293
-3.926763,134,177.850839
-9.990267,88,182.549706
-11.760029,104,188.479482
-4.730807,162,196.384876
-7.947764,14,196.828966
-5.068318,133,201.680326
-10.561996,71,204.446695
-4.085228,163,209.520557
-7.962098,166,215.61245
3.94812,147,222.663553
-13.635549,103,228.444962
-5.704069,189,234.920459
-2.184653,153,239.050842
1.534844,181,245.013881
-13.688874,83,247.74566
-4.313374,45,248.881865
-3.292262,187,255.212604
0.59155,132,259.055355
-2.500675,172,263.418938
-10.636869,148,268.867423
-8.17708,131,272.92191
-4.070687,142,277.438821
1.434231,170,284.701016
-10.175664,87,288.36935
-4.326091,142,293.603974
1.01733,158,298.595193
-14.532823,101,302.5725
-3.764849,130,307.367599
-10.757766,117,310.903917
-5.355682,163,315.661859
-4.943683,136,319.127903
-6.968461,139,323.419402
-5.728568,144,328.129131
-6.79281,167,333.089351
-10.995077,75,335.27151
-9.579801,226,342.370497
7.0332,191,347.098677
-7.796392,136,351.11816
-10.740817,98,353.775954
2.758909,163,357.566415
5.334963,201,362.942486
5.05137,373,373.757802
-5.935431,172,378.597562
-6.02254,148,382.892169
4.746543,340,392.552481
-8.6125,102,395.294678
-7.804654,126,398.686795
7.953019,136,404.308117
-9.882705,159,410.045071
-10.872055,149,414.10915
13.386953,174,419.05075
-4.169871,130,423.013351
-4.218595,259,430.083995
-7.071,203,439.160901
-11.897753,122,446.460933
-9.473359,177,457.795784
-11.995423,336,479.459651
-6.619052,200,492.329232
15.924572,500,524.843278
-9.497695,109,531.426906
15.144795,500,564.516629
-9.123982,153,575.019615
-10.863185,155,585.784809
-1.349194,193,596.816538
-9.266807,99,603.396064
-6.631791,219,614.915835
2.305749,232,628.528581
-5.062766,270,644.675833
-4.875137,346,673.236032
14.762908,205,684.181995
2.123889,137,692.856806
-6.315516,176,701.554354
-8.019735,248,709.112964
10.469646,205,715.649883
14.689483,475,729.9023
0.328753,118,733.42439
0.540118,296,742.40858
-6.735667,245,750.137629
17.323234,500,768.953918
8.56499,232,777.494477
-9.761474,56,779.534663
-8.418002,212,787.743772
-1.586543,302,802.176397
-6.330728,205,832.511275
4.570236,192,842.364172
-13.59674,184,849.060473
6.649958,179,854.595361
-5.392352,192,861.256387
2.489799,372,872.57719
11.020445,500,887.861382
3.805279,170,892.548195
21.905083,500,906.496197
18.23644,500,922.17589
4.753265,410,935.455358
5.446943,366,948.900747
12.33953,186,956.052921
-5.038908,205,965.289
1.838812,225,973.5175
23.111463,500,989.351654
2.976167,94,992.076422
6.820508,174,996.889648
-3.859692,303,1004.722318
11.183794,403,1014.967394
16.581673,500,1028.757568
4.672659,214,1034.716278
2.981802,338,1044.468913
42.326013,485,1060.176577
3.308094,167,1065.853728
-0.528318,206,1073.173151
-12.056848,235,1082.183048
-3.288481,174,1088.998198
-8.041941,190,1096.706126
-9.74813,151,1101.799806
2.498193,314,1111.494218
-2.460645,180,1116.843617
-0.581387,185,1121.977632
28.751405,500,1134.819581
-14.158857,163,1138.923903
-1.519051,244,1145.62362
29.408007,500,1159.341726
-9.98445,110,1163.515935
16.19039,173,1178.049437
1.909125,144,1188.066501
22.38567,500,1227.122266
33.258508,440,1242.684669
-8.119956,114,1246.084993
-6.346308,25,1246.812735
26.944983,500,1260.571301
24.078161,500,1274.135873
-0.224831,186,1278.991425
-9.849782,177,1283.655659
-8.100794,141,1287.37979
1.12873,236,1293.802112
0.894258,85,1296.175753
-8.358175,238,1302.831831
-7.03397,43,1304.066836
6.341045,111,1307.537856
2.749051,303,1316.774276
25.95645,500,1333.433379
2.912068,332,1346.623389
-1.760318,165,1353.092978
6.05116,154,1358.978741
-1.216177,220,1368.198829
-7.933336,47,1370.157595
31.90838,413,1384.896325
0.783396,299,1394.201949
27.574539,500,1407.81441
-4.472783,259,1414.446173
3.938459,155,1418.425636
-1.457045,166,1422.876626
-9.942649,117,1426.111241
28.151795,353,1435.757643
0.578844,339,1445.604526
20.925233,469,1460.151294
30.292203,452,1475.617022
31.843091,427,1491.783201
5.452131,364,1506.061687
1.715497,65,1508.27273
-6.627211,206,1514.965741
1.220058,183,1520.424314
14.95597,188,1525.806722
27.140148,200,1531.214406
29.263848,500,1544.254141
4.817647,334,1553.370702
-0.205633,221,1559.354071
-1.322519,56,1560.991621
32.045011,406,1572.946457
-1.248923,282,1581.895353
-9.654595,170,1587.355921
21.205335,400,1601.144353
28.106579,500,1620.176109
-5.343381,212,1628.97024
35.344937,446,1644.813309
-1.071245,274,1652.976194
3.52002,189,1658.35472
6.090317,242,1664.768732
6.377509,123,1668.081141
5.395757,307,1675.879951
-9.692959,150,1679.982871
34.037497,465,1692.609776
4.226573,322,1701.729263
26.936847,422,1714.585029
1.379997,58,1716.367908
34.6055,484,1732.437292
2.337308,344,1745.259482
3.689499,313,1757.318537
-7.228813,25,1758.398539
-8.195505,108,1763.028795
-2.253243,94,1766.961418
-8.235496,279,1777.106578
27.29095,500,1791.852919
-9.23088,177,1796.640899
19.044507,177,1801.314584
-1.943933,51,1802.67646
4.811361,87,1805.098639
2.822452,68,1806.780542
7.84198,148,1810.536026
3.988647,140,1814.217429
-9.01357,49,1815.505779
-7.309481,160,1819.769597
12.05279,382,1830.141642
32.490917,417,1842.377445
18.49479,185,1847.946745
-5.162167,235,1855.164465
-0.803411,168,1860.592072
-5.167808,180,1867.031572
2.923283,87,1870.05176
-3.19293,224,1878.123076
2.301482,97,1881.686338
7.599436,157,1888.119215
-1.643732,199,1896.315575
-0.334626,57,1898.717159
0.794707,59,1901.11398
-1.208706,56,1903.379577
0.748637,62,1905.757168
10.391633,207,1912.935241
5.430522,141,1917.215536
25.044167,500,1931.684304
-8.881319,172,1936.217565
24.992371,114,1939.240468
7.296798,371,1948.948849
2.163932,92,1951.494885
31.835286,382,1962.436826
10.228713,194,1967.963028
13.985754,169,1973.098636
10.220673,276,1981.915576
4.250056,97,1985.096237
0.152966,53,1986.861298
24.097065,104,1990.425021
24.422059,264,1999.364352
29.754418,244,2008.397372
7.12636,274,2020.1018
27.739629,194,2028.063636
0.548826,203,2035.78084
11.414833,131,2040.188398
7.344741,182,2046.091195
1.123873,283,2054.290514
6.598242,339,2063.872121
14.129669,332,2072.821974
0.319078,62,2074.602309
18.667675,227,2080.652868
12.534422,261,2087.812151
6.56158,341,2097.455011
-6.795045,159,2102.013866
6.512343,130,2106.108232
30.861085,338,2116.532343
-0.797117,225,2123.895632
16.172977,370,2137.216041
10.992178,266,2148.052997
27.667561,190,2155.979276
27.573904,200,2163.991773
25.529304,135,2169.295526
-6.894368,98,2172.882316
0.594437,282,2182.178281
28.107442,282,2190.665258
33.43274,481,2203.927839
7.584191,350,2213.130333
-3.071906,295,2221.332749
11.707665,164,2226.010712
2.892407,251,2234.730029
4.474376,104,2239.609268
24.118072,101,2243.610073
16.180301,185,2250.063841
14.635494,173,2255.94957
11.614237,227,2263.610724
-0.743221,161,2269.282958
2.749258,287,2280.117693
-3.826995,270,2290.996686
0.479419,61,2293.678532
12.056587,108,2298.67692
-7.618663,161,2305.431197
2.350627,103,2309.447086
16.746184,186,2316.206431
16.139474,447,2330.049716
3.533418,135,2333.755988
3.501474,123,2337.190609
6.806289,151,2341.279117
-9.761897,154,2345.495583
5.457745,141,2349.382071
2.080677,162,2353.646043
1.589455,81,2355.839779
16.141334,248,2362.699011
-9.37169,181,2367.750278
-6.625261,15,2368.231883
-10.485942,50,2369.687906
30.711987,313,2379.031158
27.83045,306,2388.334012
31.30103,277,2397.208514
28.488688,386,2410.674657
27.59358,213,2418.312309
22.738835,155,2424.293034
3.80521,103,2428.350089
31.565954,279,2439.822392
-3.899681,97,2444.500058
1.094032,189,2452.430968
23.447102,271,2462.395895
29.172445,210,2469.123458
6.263798,186,2474.61426
4.504579,193,2480.066094
28.677052,222,2486.312319
8.728587,176,2490.983013
-6.726718,24,2491.656365
26.961887,263,2498.785648
-2.757266,294,2506.911168
8.404665,188,2512.187482
20.153591,190,2517.625376
0.121162,252,2525.111073
5.243756,130,2529.268421
34.936894,442,2543.172057
9.245143,370,2555.950102
1.000597,292,2567.106402
31.178818,271,2577.988059
28.528557,310,2591.6024
-5.020408,210,2599.799011
27.576045,204,2606.580145
30.055827,387,2618.45063
27.941639,199,2624.063027
25.368071,237,2630.67029
23.767014,500,2644.50575
-6.065115,152,2648.944409
0.481069,140,2653.100418
-1.915688,178,2658.338228
29.624689,202,2664.648042
5.658655,173,2670.268018
10.175009,117,2674.110143
28.736343,219,2681.435223
9.323369,152,2686.591751
24.490258,122,2690.860955
7.066478,92,2694.138872
8.472144,160,2700.142353
-9.108788,55,2702.194989
-3.719116,51,2704.19033
-6.425497,22,2705.01907
4.564718,137,2710.651731
27.15059,292,2725.540019
34.586578,334,2740.194135
29.547452,324,2751.191937
8.195259,133,2755.149988
26.45694,198,2760.767303
11.08142,248,2767.732349
1.611105,172,2772.624848
24.277738,101,2775.622239
3.552725,279,2784.045045
31.987631,392,2796.339739
-7.258904,216,2803.555735
30.834246,276,2813.339517
26.257921,179,2819.714707
23.448486,193,2827.482342
-1.55842,364,2842.472344
3.913863,82,2846.018776
2.804063,68,2849.010005
12.326229,236,2859.231997
27.738489,230,2867.644611
26.072714,255,2875.5939
27.597095,205,2881.807774
-9.843955,114,2885.105942
27.740446,275,2892.987479
29.726248,346,2902.776085
28.005254,259,2910.39033
11.553986,345,2920.929234
21.056442,199,2927.422627
24.068715,101,2930.575596
24.106373,101,2933.864454
24.513381,103,2937.374474
26.42625,277,2946.89637
2.973572,217,2955.123157
24.282307,101,2958.998504
1.810793,204,2972.440745
14.64914,237,2993.433203
1.668238,278,3016.434442
0.682572,211,3028.267049
-8.378457,18,3028.861544
-6.413978,83,3031.218683
-5.543597,39,3032.282274
24.185628,101,3035.112525
3.1438,358,3045.531554
25.906305,250,3052.979156
7.349989,165,3058.130252
0.308393,243,3065.84568
24.061147,101,3069.062192
7.191611,238,3077.387073
-6.178826,32,3078.545196
26.880276,209,3086.228591
27.251227,255,3095.977329
9.396235,163,3102.735536
30.312754,345,3118.338974
11.807328,189,3127.247267
-4.075641,381,3142.367964
2.627821,152,3147.454643
14.950691,111,3150.920872
3.246133,83,3153.470526
26.577061,239,3160.615787
-7.324348,104,3163.666709
14.223525,250,3170.805976
2.922897,108,3173.845029
12.364882,211,3179.823101
8.794578,149,3184.141073
27.448135,319,3193.543599
27.681707,186,3199.386556
25.239533,289,3209.356469
10.647581,307,3219.380629
28.918599,242,3228.160115
29.787916,210,3236.229119
29.13183,295,3247.961783
10.951992,156,3254.479766
27.268647,194,3263.420604
25.49368,225,3274.212727
25.850199,227,3283.41433
2.080068,110,3287.396655
6.472689,195,3293.758131
4.6701,166,3298.845477
24.155762,101,3301.893922
3.728054,115,3305.339254
6.489953,171,3310.25443
27.474574,272,3318.228779
27.266436,263,3325.785175
28.404038,229,3332.583022
-6.24071,25,3333.3203
23.903152,261,3341.312565
26.322901,197,3347.560942
26.943644,182,3353.40604
9.178233,164,3358.786242
11.906159,165,3365.322827
-6.998855,158,3370.98378
28.817585,293,3382.766885
-9.765924,136,3388.154343
25.939336,175,3395.71632
2.242313,135,3401.629346
27.108481,214,3411.369127
10.875796,161,3418.826775
24.806532,148,3425.290946
11.048956,327,3436.829313
2.338336,121,3440.697706
-8.459092,183,3447.253535
26.354049,350,3457.725821
24.33183,143,3461.743039
-0.500142,256,3468.831718
20.424999,213,3475.096408
-6.224856,81,3477.538961
2.211671,227,3484.376219
9.053262,149,3489.017579
29.434524,206,3495.428714
4.617964,111,3499.263744
4.782147,222,3506.896054
28.371217,265,3522.897563
25.009024,134,3530.276277
23.560671,101,3538.085406
3.819978,91,3543.99357
19.556539,500,3579.860538
-6.972877,34,3581.681116
8.084915,118,3586.75715
28.095837,187,3594.159217
16.36752,168,3600.617554
10.83175,174,3606.076478
5.394373,156,3610.712917
7.470927,211,3617.04689
26.513441,238,3624.408732
6.090502,142,3630.30605
13.725183,269,3650.35629
26.481136,181,3661.84051
-0.809625,113,3668.349958
24.061942,101,3675.012912
9.362888,222,3689.289567
3.84835,144,3699.580247
28.988324,197,3718.968978
3.033498,219,3741.871298
29.103414,317,3764.791052
9.058857,162,3772.251419
33.721467,380,3785.433695
24.152165,101,3789.325773
21.958019,302,3801.526354
13.536387,191,3808.127353
24.146218,101,3811.906307
24.95687,198,3821.057936
-9.899094,146,3828.313318
26.459579,294,3847.923704
15.100621,225,3861.816164
-7.171258,87,3868.793355
28.069323,309,3892.331563
16.606496,261,3909.705119
-6.831938,34,3911.320859
25.687791,208,3920.185541
13.228078,190,3930.568261
5.015164,124,3941.107316
14.254003,211,3953.384185
30.117718,325,3967.653619
14.098278,216,3978.193402
26.931345,161,3985.689675
12.055352,202,3996.651632
25.540354,132,4003.643766
30.049766,412,4027.298011
-9.878659,154,4035.206711
-6.191412,68,4038.304053
5.689886,180,4044.67283
11.715751,174,4050.773854
23.973187,208,4058.332729
17.285917,174,4064.22072
27.774398,196,4071.381288
24.147033,101,4075.372232
2.203308,78,4078.606707
30.768206,321,4089.445191
4.018374,253,4098.561943
25.736644,218,4107.724047
30.432388,309,4122.396166
6.889877,208,4132.486071
25.066218,202,4150.032718
-9.531939,155,4164.657509
26.168792,219,4177.689992
24.536215,198,4187.739888
14.74662,378,4201.094973
-4.92028,56,4203.358945
7.012325,152,4208.854166
-5.90981,38,4210.028646
26.776708,181,4216.633037
27.500567,203,4223.304261
27.456437,213,4230.202351
28.143018,208,4237.748403
