total_steps,win_rate,seed,experiment
20000,0.02,seed_1,SAC_Hard_128
40000,0.0,seed_1,SAC_Hard_128
60000,0.06,seed_1,SAC_Hard_128
80000,0.02,seed_1,SAC_Hard_128
100000,0.04,seed_1,SAC_Hard_128
120000,0.02,seed_1,SAC_Hard_128
140000,0.0,seed_1,SAC_Hard_128
160000,0.0,seed_1,SAC_Hard_128
180000,0.0,seed_1,SAC_Hard_128
200000,0.04,seed_1,SAC_Hard_128
220000,0.02,seed_1,SAC_Hard_128
240000,0.0,seed_1,SAC_Hard_128
260000,0.0,seed_1,SAC_Hard_128
280000,0.06,seed_1,SAC_Hard_128
300000,0.0,seed_1,SAC_Hard_128
320000,0.04,seed_1,SAC_Hard_128
340000,0.06,seed_1,SAC_Hard_128
360000,0.1,seed_1,SAC_Hard_128
380000,0.12,seed_1,SAC_Hard_128
400000,0.12,seed_1,SAC_Hard_128
420000,0.14,seed_1,SAC_Hard_128
440000,0.16,seed_1,SAC_Hard_128
460000,0.14,seed_1,SAC_Hard_128
480000,0.18,seed_1,SAC_Hard_128
500000,0.18,seed_1,SAC_Hard_128
520000,0.2,seed_1,SAC_Hard_128
540000,0.12,seed_1,SAC_Hard_128
560000,0.12,seed_1,SAC_Hard_128
580000,0.12,seed_1,SAC_Hard_128
600000,0.12,seed_1,SAC_Hard_128
620000,0.12,seed_1,SAC_Hard_128
640000,0.14,seed_1,SAC_Hard_128
660000,0.1,seed_1,SAC_Hard_128
680000,0.16,seed_1,SAC_Hard_128
700000,0.16,seed_1,SAC_Hard_128
720000,0.14,seed_1,SAC_Hard_128
740000,0.12,seed_1,SAC_Hard_128
760000,0.16,seed_1,SAC_Hard_128
780000,0.16,seed_1,SAC_Hard_128
800000,0.12,seed_1,SAC_Hard_128
820000,0.22,seed_1,SAC_Hard_128
840000,0.18,seed_1,SAC_Hard_128
860000,0.24,seed_1,SAC_Hard_128
880000,0.32,seed_1,SAC_Hard_128
900000,0.3,seed_1,SAC_Hard_128
920000,0.24,seed_1,SAC_Hard_128
940000,0.3,seed_1,SAC_Hard_128
960000,0.38,seed_1,SAC_Hard_128
980000,0.3,seed_1,SAC_Hard_128
1000000,0.42,seed_1,SAC_Hard_128
1020000,0.48,seed_1,SAC_Hard_128
1040000,0.48,seed_1,SAC_Hard_128
1060000,0.48,seed_1,SAC_Hard_128
1080000,0.52,seed_1,SAC_Hard_128
1100000,0.56,seed_1,SAC_Hard_128
1120000,0.5,seed_1,SAC_Hard_128
1140000,0.5,seed_1,SAC_Hard_128
1160000,0.5,seed_1,SAC_Hard_128
1180000,0.56,seed_1,SAC_Hard_128
1200000,0.58,seed_1,SAC_Hard_128
1220000,0.58,seed_1,SAC_Hard_128
1240000,0.66,seed_1,SAC_Hard_128
1260000,0.64,seed_1,SAC_Hard_128
1280000,0.6,seed_1,SAC_Hard_128
1300000,0.64,seed_1,SAC_Hard_128
1320000,0.66,seed_1,SAC_Hard_128
1340000,0.64,seed_1,SAC_Hard_128
1360000,0.68,seed_1,SAC_Hard_128
1380000,0.68,seed_1,SAC_Hard_128
1400000,0.62,seed_1,SAC_Hard_128
1420000,0.66,seed_1,SAC_Hard_128
1440000,0.66,seed_1,SAC_Hard_128
1460000,0.62,seed_1,SAC_Hard_128
1480000,0.62,seed_1,SAC_Hard_128
1500000,0.66,seed_1,SAC_Hard_128
1520000,0.7,seed_1,SAC_Hard_128
1540000,0.66,seed_1,SAC_Hard_128
1560000,0.7,seed_1,SAC_Hard_128
1580000,0.72,seed_1,SAC_Hard_128
1600000,0.68,seed_1,SAC_Hard_128
1620000,0.66,seed_1,SAC_Hard_128
1640000,0.64,seed_1,SAC_Hard_128
1660000,0.68,seed_1,SAC_Hard_128
1680000,0.62,seed_1,SAC_Hard_128
1700000,0.66,seed_1,SAC_Hard_128
1720000,0.64,seed_1,SAC_Hard_128
1740000,0.66,seed_1,SAC_Hard_128
1760000,0.72,seed_1,SAC_Hard_128
1780000,0.56,seed_1,SAC_Hard_128
1800000,0.62,seed_1,SAC_Hard_128
1820000,0.66,seed_1,SAC_Hard_128
1840000,0.68,seed_1,SAC_Hard_128
1860000,0.64,seed_1,SAC_Hard_128
1880000,0.72,seed_1,SAC_Hard_128
1900000,0.7,seed_1,SAC_Hard_128
1920000,0.66,seed_1,SAC_Hard_128
1940000,0.72,seed_1,SAC_Hard_128
1960000,0.66,seed_1,SAC_Hard_128
1980000,0.64,seed_1,SAC_Hard_128
2000000,0.66,seed_1,SAC_Hard_128
20000,0.06,seed_2,SAC_Hard_128
40000,0.12,seed_2,SAC_Hard_128
60000,0.04,seed_2,SAC_Hard_128
80000,0.04,seed_2,SAC_Hard_128
100000,0.02,seed_2,SAC_Hard_128
120000,0.06,seed_2,SAC_Hard_128
140000,0.02,seed_2,SAC_Hard_128
160000,0.04,seed_2,SAC_Hard_128
180000,0.02,seed_2,SAC_Hard_128
200000,0.02,seed_2,SAC_Hard_128
220000,0.02,seed_2,SAC_Hard_128
240000,0.08,seed_2,SAC_Hard_128
260000,0.02,seed_2,SAC_Hard_128
280000,0.02,seed_2,SAC_Hard_128
300000,0.06,seed_2,SAC_Hard_128
320000,0.06,seed_2,SAC_Hard_128
340000,0.08,seed_2,SAC_Hard_128
360000,0.06,seed_2,SAC_Hard_128
380000,0.12,seed_2,SAC_Hard_128
400000,0.08,seed_2,SAC_Hard_128
420000,0.1,seed_2,SAC_Hard_128
440000,0.1,seed_2,SAC_Hard_128
460000,0.14,seed_2,SAC_Hard_128
480000,0.1,seed_2,SAC_Hard_128
500000,0.12,seed_2,SAC_Hard_128
520000,0.12,seed_2,SAC_Hard_128
540000,0.1,seed_2,SAC_Hard_128
560000,0.16,seed_2,SAC_Hard_128
580000,0.18,seed_2,SAC_Hard_128
600000,0.14,seed_2,SAC_Hard_128
620000,0.18,seed_2,SAC_Hard_128
640000,0.16,seed_2,SAC_Hard_128
660000,0.24,seed_2,SAC_Hard_128
680000,0.24,seed_2,SAC_Hard_128
700000,0.3,seed_2,SAC_Hard_128
720000,0.34,seed_2,SAC_Hard_128
740000,0.32,seed_2,SAC_Hard_128
760000,0.34,seed_2,SAC_Hard_128
780000,0.38,seed_2,SAC_Hard_128
800000,0.24,seed_2,SAC_Hard_128
820000,0.4,seed_2,SAC_Hard_128
840000,0.36,seed_2,SAC_Hard_128
860000,0.34,seed_2,SAC_Hard_128
880000,0.36,seed_2,SAC_Hard_128
900000,0.34,seed_2,SAC_Hard_128
920000,0.36,seed_2,SAC_Hard_128
940000,0.34,seed_2,SAC_Hard_128
960000,0.36,seed_2,SAC_Hard_128
980000,0.34,seed_2,SAC_Hard_128
1000000,0.34,seed_2,SAC_Hard_128
1020000,0.48,seed_2,SAC_Hard_128
1040000,0.4,seed_2,SAC_Hard_128
1060000,0.44,seed_2,SAC_Hard_128
1080000,0.46,seed_2,SAC_Hard_128
1100000,0.42,seed_2,SAC_Hard_128
1120000,0.48,seed_2,SAC_Hard_128
1140000,0.48,seed_2,SAC_Hard_128
1160000,0.46,seed_2,SAC_Hard_128
1180000,0.48,seed_2,SAC_Hard_128
1200000,0.56,seed_2,SAC_Hard_128
1220000,0.54,seed_2,SAC_Hard_128
1240000,0.6,seed_2,SAC_Hard_128
1260000,0.62,seed_2,SAC_Hard_128
1280000,0.58,seed_2,SAC_Hard_128
1300000,0.56,seed_2,SAC_Hard_128
1320000,0.6,seed_2,SAC_Hard_128
1340000,0.52,seed_2,SAC_Hard_128
1360000,0.6,seed_2,SAC_Hard_128
1380000,0.58,seed_2,SAC_Hard_128
1400000,0.56,seed_2,SAC_Hard_128
1420000,0.62,seed_2,SAC_Hard_128
1440000,0.68,seed_2,SAC_Hard_128
1460000,0.64,seed_2,SAC_Hard_128
1480000,0.64,seed_2,SAC_Hard_128
1500000,0.68,seed_2,SAC_Hard_128
1520000,0.7,seed_2,SAC_Hard_128
1540000,0.66,seed_2,SAC_Hard_128
1560000,0.68,seed_2,SAC_Hard_128
1580000,0.72,seed_2,SAC_Hard_128
1600000,0.68,seed_2,SAC_Hard_128
1620000,0.76,seed_2,SAC_Hard_128
1640000,0.66,seed_2,SAC_Hard_128
1660000,0.7,seed_2,SAC_Hard_128
1680000,0.68,seed_2,SAC_Hard_128
1700000,0.7,seed_2,SAC_Hard_128
1720000,0.68,seed_2,SAC_Hard_128
1740000,0.7,seed_2,SAC_Hard_128
1760000,0.7,seed_2,SAC_Hard_128
1780000,0.72,seed_2,SAC_Hard_128
1800000,0.7,seed_2,SAC_Hard_128
1820000,0.72,seed_2,SAC_Hard_128
1840000,0.68,seed_2,SAC_Hard_128
1860000,0.72,seed_2,SAC_Hard_128
1880000,0.7,seed_2,SAC_Hard_128
1900000,0.7,seed_2,SAC_Hard_128
1920000,0.7,seed_2,SAC_Hard_128
1940000,0.72,seed_2,SAC_Hard_128
1960000,0.76,seed_2,SAC_Hard_128
1980000,0.7,seed_2,SAC_Hard_128
2000000,0.74,seed_2,SAC_Hard_128
20000,0.1,seed_3,SAC_Hard_128
40000,0.02,seed_3,SAC_Hard_128
60000,0.04,seed_3,SAC_Hard_128
80000,0.04,seed_3,SAC_Hard_128
100000,0.0,seed_3,SAC_Hard_128
120000,0.02,seed_3,SAC_Hard_128
140000,0.02,seed_3,SAC_Hard_128
160000,0.0,seed_3,SAC_Hard_128
180000,0.02,seed_3,SAC_Hard_128
200000,0.0,seed_3,SAC_Hard_128
220000,0.06,seed_3,SAC_Hard_128
240000,0.04,seed_3,SAC_Hard_128
260000,0.02,seed_3,SAC_Hard_128
280000,0.06,seed_3,SAC_Hard_128
300000,0.06,seed_3,SAC_Hard_128
320000,0.12,seed_3,SAC_Hard_128
340000,0.08,seed_3,SAC_Hard_128
360000,0.1,seed_3,SAC_Hard_128
380000,0.14,seed_3,SAC_Hard_128
400000,0.1,seed_3,SAC_Hard_128
420000,0.06,seed_3,SAC_Hard_128
440000,0.06,seed_3,SAC_Hard_128
460000,0.14,seed_3,SAC_Hard_128
480000,0.12,seed_3,SAC_Hard_128
500000,0.2,seed_3,SAC_Hard_128
520000,0.12,seed_3,SAC_Hard_128
540000,0.14,seed_3,SAC_Hard_128
560000,0.1,seed_3,SAC_Hard_128
580000,0.22,seed_3,SAC_Hard_128
600000,0.22,seed_3,SAC_Hard_128
620000,0.2,seed_3,SAC_Hard_128
640000,0.2,seed_3,SAC_Hard_128
660000,0.24,seed_3,SAC_Hard_128
680000,0.28,seed_3,SAC_Hard_128
700000,0.28,seed_3,SAC_Hard_128
720000,0.28,seed_3,SAC_Hard_128
740000,0.32,seed_3,SAC_Hard_128
760000,0.3,seed_3,SAC_Hard_128
780000,0.28,seed_3,SAC_Hard_128
800000,0.32,seed_3,SAC_Hard_128
820000,0.32,seed_3,SAC_Hard_128
840000,0.32,seed_3,SAC_Hard_128
860000,0.32,seed_3,SAC_Hard_128
880000,0.32,seed_3,SAC_Hard_128
900000,0.32,seed_3,SAC_Hard_128
920000,0.32,seed_3,SAC_Hard_128
940000,0.36,seed_3,SAC_Hard_128
960000,0.32,seed_3,SAC_Hard_128
980000,0.46,seed_3,SAC_Hard_128
1000000,0.46,seed_3,SAC_Hard_128
1020000,0.4,seed_3,SAC_Hard_128
1040000,0.42,seed_3,SAC_Hard_128
1060000,0.48,seed_3,SAC_Hard_128
1080000,0.52,seed_3,SAC_Hard_128
1100000,0.52,seed_3,SAC_Hard_128
1120000,0.52,seed_3,SAC_Hard_128
1140000,0.56,seed_3,SAC_Hard_128
1160000,0.54,seed_3,SAC_Hard_128
1180000,0.52,seed_3,SAC_Hard_128
1200000,0.54,seed_3,SAC_Hard_128
1220000,0.6,seed_3,SAC_Hard_128
1240000,0.54,seed_3,SAC_Hard_128
1260000,0.52,seed_3,SAC_Hard_128
1280000,0.5,seed_3,SAC_Hard_128
1300000,0.56,seed_3,SAC_Hard_128
1320000,0.56,seed_3,SAC_Hard_128
1340000,0.54,seed_3,SAC_Hard_128
1360000,0.46,seed_3,SAC_Hard_128
1380000,0.54,seed_3,SAC_Hard_128
1400000,0.54,seed_3,SAC_Hard_128
1420000,0.6,seed_3,SAC_Hard_128
1440000,0.56,seed_3,SAC_Hard_128
1460000,0.6,seed_3,SAC_Hard_128
1480000,0.64,seed_3,SAC_Hard_128
1500000,0.58,seed_3,SAC_Hard_128
1520000,0.56,seed_3,SAC_Hard_128
1540000,0.6,seed_3,SAC_Hard_128
1560000,0.62,seed_3,SAC_Hard_128
1580000,0.64,seed_3,SAC_Hard_128
1600000,0.58,seed_3,SAC_Hard_128
1620000,0.62,seed_3,SAC_Hard_128
1640000,0.62,seed_3,SAC_Hard_128
1660000,0.64,seed_3,SAC_Hard_128
1680000,0.64,seed_3,SAC_Hard_128
1700000,0.68,seed_3,SAC_Hard_128
1720000,0.7,seed_3,SAC_Hard_128
1740000,0.72,seed_3,SAC_Hard_128
1760000,0.66,seed_3,SAC_Hard_128
1780000,0.68,seed_3,SAC_Hard_128
1800000,0.68,seed_3,SAC_Hard_128
1820000,0.62,seed_3,SAC_Hard_128
1840000,0.68,seed_3,SAC_Hard_128
1860000,0.74,seed_3,SAC_Hard_128
1880000,0.68,seed_3,SAC_Hard_128
1900000,0.7,seed_3,SAC_Hard_128
1920000,0.66,seed_3,SAC_Hard_128
1940000,0.68,seed_3,SAC_Hard_128
1960000,0.72,seed_3,SAC_Hard_128
1980000,0.7,seed_3,SAC_Hard_128
2000000,0.7,seed_3,SAC_Hard_128
