total_steps,win_rate,seed,experiment
20000,0.02,seed_1,SAC_Hard_256
40000,0.04,seed_1,SAC_Hard_256
60000,0.06,seed_1,SAC_Hard_256
80000,0.02,seed_1,SAC_Hard_256
100000,0.02,seed_1,SAC_Hard_256
120000,0.02,seed_1,SAC_Hard_256
140000,0.0,seed_1,SAC_Hard_256
160000,0.04,seed_1,SAC_Hard_256
180000,0.0,seed_1,SAC_Hard_256
200000,0.06,seed_1,SAC_Hard_256
220000,0.16,seed_1,SAC_Hard_256
240000,0.08,seed_1,SAC_Hard_256
260000,0.18,seed_1,SAC_Hard_256
280000,0.14,seed_1,SAC_Hard_256
300000,0.08,seed_1,SAC_Hard_256
320000,0.28,seed_1,SAC_Hard_256
340000,0.2,seed_1,SAC_Hard_256
360000,0.24,seed_1,SAC_Hard_256
380000,0.24,seed_1,SAC_Hard_256
400000,0.24,seed_1,SAC_Hard_256
420000,0.36,seed_1,SAC_Hard_256
440000,0.36,seed_1,SAC_Hard_256
460000,0.3,seed_1,SAC_Hard_256
480000,0.28,seed_1,SAC_Hard_256
500000,0.3,seed_1,SAC_Hard_256
520000,0.3,seed_1,SAC_Hard_256
540000,0.32,seed_1,SAC_Hard_256
560000,0.32,seed_1,SAC_Hard_256
580000,0.38,seed_1,SAC_Hard_256
600000,0.38,seed_1,SAC_Hard_256
620000,0.34,seed_1,SAC_Hard_256
640000,0.4,seed_1,SAC_Hard_256
660000,0.4,seed_1,SAC_Hard_256
680000,0.46,seed_1,SAC_Hard_256
700000,0.5,seed_1,SAC_Hard_256
720000,0.48,seed_1,SAC_Hard_256
740000,0.56,seed_1,SAC_Hard_256
760000,0.64,seed_1,SAC_Hard_256
780000,0.68,seed_1,SAC_Hard_256
800000,0.6,seed_1,SAC_Hard_256
820000,0.66,seed_1,SAC_Hard_256
840000,0.7,seed_1,SAC_Hard_256
860000,0.72,seed_1,SAC_Hard_256
880000,0.66,seed_1,SAC_Hard_256
900000,0.66,seed_1,SAC_Hard_256
920000,0.66,seed_1,SAC_Hard_256
940000,0.62,seed_1,SAC_Hard_256
960000,0.66,seed_1,SAC_Hard_256
980000,0.56,seed_1,SAC_Hard_256
1000000,0.6,seed_1,SAC_Hard_256
1020000,0.66,seed_1,SAC_Hard_256
1040000,0.7,seed_1,SAC_Hard_256
1060000,0.64,seed_1,SAC_Hard_256
1080000,0.7,seed_1,SAC_Hard_256
1100000,0.66,seed_1,SAC_Hard_256
1120000,0.68,seed_1,SAC_Hard_256
1140000,0.7,seed_1,SAC_Hard_256
1160000,0.66,seed_1,SAC_Hard_256
1180000,0.64,seed_1,SAC_Hard_256
1200000,0.66,seed_1,SAC_Hard_256
1220000,0.68,seed_1,SAC_Hard_256
1240000,0.7,seed_1,SAC_Hard_256
1260000,0.64,seed_1,SAC_Hard_256
1280000,0.7,seed_1,SAC_Hard_256
1300000,0.74,seed_1,SAC_Hard_256
1320000,0.7,seed_1,SAC_Hard_256
1340000,0.7,seed_1,SAC_Hard_256
1360000,0.78,seed_1,SAC_Hard_256
1380000,0.66,seed_1,SAC_Hard_256
1400000,0.7,seed_1,SAC_Hard_256
1420000,0.68,seed_1,SAC_Hard_256
1440000,0.7,seed_1,SAC_Hard_256
1460000,0.72,seed_1,SAC_Hard_256
1480000,0.7,seed_1,SAC_Hard_256
1500000,0.74,seed_1,SAC_Hard_256
1520000,0.68,seed_1,SAC_Hard_256
1540000,0.7,seed_1,SAC_Hard_256
1560000,0.72,seed_1,SAC_Hard_256
1580000,0.7,seed_1,SAC_Hard_256
1600000,0.74,seed_1,SAC_Hard_256
1620000,0.7,seed_1,SAC_Hard_256
1640000,0.76,seed_1,SAC_Hard_256
1660000,0.72,seed_1,SAC_Hard_256
1680000,0.76,seed_1,SAC_Hard_256
1700000,0.66,seed_1,SAC_Hard_256
1720000,0.7,seed_1,SAC_Hard_256
1740000,0.7,seed_1,SAC_Hard_256
1760000,0.72,seed_1,SAC_Hard_256
1780000,0.72,seed_1,SAC_Hard_256
1800000,0.74,seed_1,SAC_Hard_256
1820000,0.74,seed_1,SAC_Hard_256
1840000,0.68,seed_1,SAC_Hard_256
1860000,0.7,seed_1,SAC_Hard_256
1880000,0.68,seed_1,SAC_Hard_256
1900000,0.7,seed_1,SAC_Hard_256
1920000,0.76,seed_1,SAC_Hard_256
1940000,0.72,seed_1,SAC_Hard_256
1960000,0.76,seed_1,SAC_Hard_256
1980000,0.78,seed_1,SAC_Hard_256
2000000,0.76,seed_1,SAC_Hard_256
20000,0.02,seed_2,SAC_Hard_256
40000,0.02,seed_2,SAC_Hard_256
60000,0.06,seed_2,SAC_Hard_256
80000,0.06,seed_2,SAC_Hard_256
100000,0.08,seed_2,SAC_Hard_256
120000,0.02,seed_2,SAC_Hard_256
140000,0.04,seed_2,SAC_Hard_256
160000,0.02,seed_2,SAC_Hard_256
180000,0.08,seed_2,SAC_Hard_256
200000,0.04,seed_2,SAC_Hard_256
220000,0.08,seed_2,SAC_Hard_256
240000,0.08,seed_2,SAC_Hard_256
260000,0.1,seed_2,SAC_Hard_256
280000,0.06,seed_2,SAC_Hard_256
300000,0.1,seed_2,SAC_Hard_256
320000,0.14,seed_2,SAC_Hard_256
340000,0.12,seed_2,SAC_Hard_256
360000,0.2,seed_2,SAC_Hard_256
380000,0.2,seed_2,SAC_Hard_256
400000,0.16,seed_2,SAC_Hard_256
420000,0.18,seed_2,SAC_Hard_256
440000,0.08,seed_2,SAC_Hard_256
460000,0.16,seed_2,SAC_Hard_256
480000,0.18,seed_2,SAC_Hard_256
500000,0.14,seed_2,SAC_Hard_256
520000,0.14,seed_2,SAC_Hard_256
540000,0.22,seed_2,SAC_Hard_256
560000,0.2,seed_2,SAC_Hard_256
580000,0.28,seed_2,SAC_Hard_256
600000,0.28,seed_2,SAC_Hard_256
620000,0.3,seed_2,SAC_Hard_256
640000,0.3,seed_2,SAC_Hard_256
660000,0.24,seed_2,SAC_Hard_256
680000,0.24,seed_2,SAC_Hard_256
700000,0.32,seed_2,SAC_Hard_256
720000,0.32,seed_2,SAC_Hard_256
740000,0.34,seed_2,SAC_Hard_256
760000,0.34,seed_2,SAC_Hard_256
780000,0.4,seed_2,SAC_Hard_256
800000,0.36,seed_2,SAC_Hard_256
820000,0.46,seed_2,SAC_Hard_256
840000,0.46,seed_2,SAC_Hard_256
860000,0.48,seed_2,SAC_Hard_256
880000,0.46,seed_2,SAC_Hard_256
900000,0.6,seed_2,SAC_Hard_256
920000,0.64,seed_2,SAC_Hard_256
940000,0.64,seed_2,SAC_Hard_256
960000,0.6,seed_2,SAC_Hard_256
980000,0.7,seed_2,SAC_Hard_256
1000000,0.66,seed_2,SAC_Hard_256
1020000,0.72,seed_2,SAC_Hard_256
1040000,0.62,seed_2,SAC_Hard_256
1060000,0.66,seed_2,SAC_Hard_256
1080000,0.66,seed_2,SAC_Hard_256
1100000,0.72,seed_2,SAC_Hard_256
1120000,0.62,seed_2,SAC_Hard_256
1140000,0.7,seed_2,SAC_Hard_256
1160000,0.74,seed_2,SAC_Hard_256
1180000,0.68,seed_2,SAC_Hard_256
1200000,0.66,seed_2,SAC_Hard_256
1220000,0.7,seed_2,SAC_Hard_256
1240000,0.74,seed_2,SAC_Hard_256
1260000,0.66,seed_2,SAC_Hard_256
1280000,0.7,seed_2,SAC_Hard_256
1300000,0.68,seed_2,SAC_Hard_256
1320000,0.62,seed_2,SAC_Hard_256
1340000,0.7,seed_2,SAC_Hard_256
1360000,0.76,seed_2,SAC_Hard_256
1380000,0.68,seed_2,SAC_Hard_256
1400000,0.66,seed_2,SAC_Hard_256
1420000,0.7,seed_2,SAC_Hard_256
1440000,0.68,seed_2,SAC_Hard_256
1460000,0.7,seed_2,SAC_Hard_256
1480000,0.74,seed_2,SAC_Hard_256
1500000,0.76,seed_2,SAC_Hard_256
1520000,0.74,seed_2,SAC_Hard_256
1540000,0.74,seed_2,SAC_Hard_256
1560000,0.78,seed_2,SAC_Hard_256
1580000,0.72,seed_2,SAC_Hard_256
1600000,0.78,seed_2,SAC_Hard_256
1620000,0.78,seed_2,SAC_Hard_256
1640000,0.76,seed_2,SAC_Hard_256
1660000,0.74,seed_2,SAC_Hard_256
1680000,0.76,seed_2,SAC_Hard_256
1700000,0.74,seed_2,SAC_Hard_256
1720000,0.82,seed_2,SAC_Hard_256
1740000,0.78,seed_2,SAC_Hard_256
1760000,0.8,seed_2,SAC_Hard_256
1780000,0.8,seed_2,SAC_Hard_256
1800000,0.74,seed_2,SAC_Hard_256
1820000,0.78,seed_2,SAC_Hard_256
1840000,0.78,seed_2,SAC_Hard_256
1860000,0.78,seed_2,SAC_Hard_256
1880000,0.76,seed_2,SAC_Hard_256
1900000,0.8,seed_2,SAC_Hard_256
1920000,0.78,seed_2,SAC_Hard_256
1940000,0.8,seed_2,SAC_Hard_256
1960000,0.78,seed_2,SAC_Hard_256
1980000,0.76,seed_2,SAC_Hard_256
2000000,0.8,seed_2,SAC_Hard_256
20000,0.08,seed_3,SAC_Hard_256
40000,0.06,seed_3,SAC_Hard_256
60000,0.0,seed_3,SAC_Hard_256
80000,0.04,seed_3,SAC_Hard_256
100000,0.04,seed_3,SAC_Hard_256
120000,0.02,seed_3,SAC_Hard_256
140000,0.02,seed_3,SAC_Hard_256
160000,0.02,seed_3,SAC_Hard_256
180000,0.0,seed_3,SAC_Hard_256
200000,0.0,seed_3,SAC_Hard_256
220000,0.04,seed_3,SAC_Hard_256
240000,0.04,seed_3,SAC_Hard_256
260000,0.08,seed_3,SAC_Hard_256
280000,0.02,seed_3,SAC_Hard_256
300000,0.12,seed_3,SAC_Hard_256
320000,0.12,seed_3,SAC_Hard_256
340000,0.18,seed_3,SAC_Hard_256
360000,0.22,seed_3,SAC_Hard_256
380000,0.2,seed_3,SAC_Hard_256
400000,0.2,seed_3,SAC_Hard_256
420000,0.2,seed_3,SAC_Hard_256
440000,0.16,seed_3,SAC_Hard_256
460000,0.16,seed_3,SAC_Hard_256
480000,0.1,seed_3,SAC_Hard_256
500000,0.2,seed_3,SAC_Hard_256
520000,0.16,seed_3,SAC_Hard_256
540000,0.18,seed_3,SAC_Hard_256
560000,0.32,seed_3,SAC_Hard_256
580000,0.24,seed_3,SAC_Hard_256
600000,0.24,seed_3,SAC_Hard_256
620000,0.26,seed_3,SAC_Hard_256
640000,0.24,seed_3,SAC_Hard_256
660000,0.28,seed_3,SAC_Hard_256
680000,0.3,seed_3,SAC_Hard_256
700000,0.26,seed_3,SAC_Hard_256
720000,0.22,seed_3,SAC_Hard_256
740000,0.3,seed_3,SAC_Hard_256
760000,0.38,seed_3,SAC_Hard_256
780000,0.32,seed_3,SAC_Hard_256
800000,0.42,seed_3,SAC_Hard_256
820000,0.46,seed_3,SAC_Hard_256
840000,0.48,seed_3,SAC_Hard_256
860000,0.5,seed_3,SAC_Hard_256
880000,0.48,seed_3,SAC_Hard_256
900000,0.58,seed_3,SAC_Hard_256
920000,0.48,seed_3,SAC_Hard_256
940000,0.5,seed_3,SAC_Hard_256
960000,0.48,seed_3,SAC_Hard_256
980000,0.52,seed_3,SAC_Hard_256
1000000,0.5,seed_3,SAC_Hard_256
1020000,0.62,seed_3,SAC_Hard_256
1040000,0.56,seed_3,SAC_Hard_256
1060000,0.62,seed_3,SAC_Hard_256
1080000,0.64,seed_3,SAC_Hard_256
1100000,0.6,seed_3,SAC_Hard_256
1120000,0.64,seed_3,SAC_Hard_256
1140000,0.72,seed_3,SAC_Hard_256
1160000,0.7,seed_3,SAC_Hard_256
1180000,0.66,seed_3,SAC_Hard_256
1200000,0.72,seed_3,SAC_Hard_256
1220000,0.62,seed_3,SAC_Hard_256
1240000,0.72,seed_3,SAC_Hard_256
1260000,0.68,seed_3,SAC_Hard_256
1280000,0.7,seed_3,SAC_Hard_256
1300000,0.68,seed_3,SAC_Hard_256
1320000,0.66,seed_3,SAC_Hard_256
1340000,0.68,seed_3,SAC_Hard_256
1360000,0.68,seed_3,SAC_Hard_256
1380000,0.72,seed_3,SAC_Hard_256
1400000,0.68,seed_3,SAC_Hard_256
1420000,0.7,seed_3,SAC_Hard_256
1440000,0.74,seed_3,SAC_Hard_256
1460000,0.74,seed_3,SAC_Hard_256
1480000,0.72,seed_3,SAC_Hard_256
1500000,0.72,seed_3,SAC_Hard_256
1520000,0.74,seed_3,SAC_Hard_256
1540000,0.74,seed_3,SAC_Hard_256
1560000,0.68,seed_3,SAC_Hard_256
1580000,0.74,seed_3,SAC_Hard_256
1600000,0.78,seed_3,SAC_Hard_256
1620000,0.7,seed_3,SAC_Hard_256
1640000,0.7,seed_3,SAC_Hard_256
1660000,0.74,seed_3,SAC_Hard_256
1680000,0.74,seed_3,SAC_Hard_256
1700000,0.7,seed_3,SAC_Hard_256
1720000,0.74,seed_3,SAC_Hard_256
1740000,0.76,seed_3,SAC_Hard_256
1760000,0.7,seed_3,SAC_Hard_256
1780000,0.76,seed_3,SAC_Hard_256
1800000,0.76,seed_3,SAC_Hard_256
1820000,0.76,seed_3,SAC_Hard_256
1840000,0.74,seed_3,SAC_Hard_256
1860000,0.7,seed_3,SAC_Hard_256
1880000,0.76,seed_3,SAC_Hard_256
1900000,0.76,seed_3,SAC_Hard_256
1920000,0.76,seed_3,SAC_Hard_256
1940000,0.74,seed_3,SAC_Hard_256
1960000,0.74,seed_3,SAC_Hard_256
1980000,0.74,seed_3,SAC_Hard_256
2000000,0.74,seed_3,SAC_Hard_256
